name,company,street,postcode,city,country,capacity,energy_source,technology,chp,commissioned,type,lat,lon,eic_code,energy_source_level_1,energy_source_level_2,energy_source_level_3,additional_info,comment,source
"EW Zürchersmühle",,,,Urnäsch,CH,0.36,Hydro,Run-of-river,,1987,,47.3318002224,9.29178339624,,"Renewable energy",Hydro,,,,BFE
Kubel,,,,"St. Gallen",CH,15,Hydro,Run-of-river,,1976,,47.4019094764,9.32364063827,,"Renewable energy",Hydro,,,,BFE
Sittertal,,,,"St. Gallen, Sittertal",CH,0.46,Hydro,Run-of-river,,2007,,47.410010524,9.32339732284,,"Renewable energy",Hydro,,,,BFE
Burentobel,,,,"St. Gallen",CH,0.3,Hydro,Run-of-river,,2008,,47.4191628646,9.34135118586,,"Renewable energy",Hydro,,,,BFE
Erlenholz,,,,Wittenbach,CH,0.48,Hydro,Run-of-river,,2003,,47.4572264157,9.36804900144,,"Renewable energy",Hydro,,,,BFE
Thurfeld,,,,Schönenberg,CH,1.7,Hydro,Run-of-river,,2011,,47.5192647047,9.20708697249,,"Renewable energy",Hydro,,,,BFE
Au-Schönenberg,,,,"Schönenberg an der Thur",CH,2.3,Hydro,Run-of-river,,2002,,47.5239809806,9.18679102533,,"Renewable energy",Hydro,,,,BFE
"Bürglen (Kanal)",,,,Bürglen,CH,1.1,Hydro,Run-of-river,,1947,,,,,"Renewable energy",Hydro,,,,BFE
"Bürglen (Säge)",,,,Bürglen,CH,0.44,Hydro,Run-of-river,,2008,,47.547257475,9.15221424841,,"Renewable energy",Hydro,,,,BFE
"Kleinwasserkraftwerk Bürglen",,,,Bürglen,CH,0.99,Hydro,Run-of-river,,2016,,,,,"Renewable energy",Hydro,,,,BFE
Thur,,,,Bürglen,CH,0.7,Hydro,Run-of-river,,1976,,47.5502758294,9.1427446335,,"Renewable energy",Hydro,,,"- Thur 1 und Thur 2 sind in der Zentrale Thur zusammengefasst.  ; - Rechtsgrundlagen:  Konzessionsablauf Thur 1 = 2036, Konzessionsablauf Thur 2 = 2027.            ;                     	             ; ",BFE
"Weinfelden (Model)",,,,Weinfelden,CH,0.4,Hydro,Run-of-river,,1948,,47.5608510601,9.1021506291,,"Renewable energy",Hydro,,,,BFE
"Weinfelden (Mühle)",,,,Weinfelden,CH,0.4,Hydro,Run-of-river,,1948,,47.5607188536,9.09882399502,,"Renewable energy",Hydro,,,,BFE
Widen,,,,"Weinfelden, untere Widen",CH,0.83,Hydro,Run-of-river,,1989,,47.5647136507,9.07728471582,,"Renewable energy",Hydro,,,,BFE
Murkart,,,,Matzingen,CH,0.34,Hydro,Run-of-river,,2008,,47.5374877465,8.91438251912,,"Renewable energy",Hydro,,,,BFE
